ZWD;Vnummer;Statutaire Naam;Kontaktpersoon;Mailadres
0HBO;V0000;Vereniging Van Eigenaars Duke Ellington Te Amsterdam;Minnie Mouse;<minnie.mouse@disney.com>
1;V0001;Vereniging Van Eigenaars Gebouw Sporenburg Ii Nabij De C. Van Eesterenlaan En De Borneolaan Te Amsterdam;Donald Duck;donald.duck@disney.com
2;V0002;Vereniging Van Appartementseigenaars Complex Eerste Oosterparkstraat/Iepenweg/Iepenplein/Tweede Oosterparkstraat Te Amsterdam;Katrien Duck;katrien.duck@disney.com
3EAG;V0003;Vereniging Van Eigenaars Reinwardtstraat 3 tot en met 17 en Van Swindendwarsstraat 60 tot en met 102 te Amsterdam;Goofy;goofy@disney.com
4;V0004;Vereniging van Eigenaars Cadiz;Pluto;pluto@disney.com
5;V0005;"Vereniging Van Eigenaars ""Betondorp Blok 3""";Chip;chip@disney.com
6;V0006;Vereniging Van Eigenaars Torenwijck V Te Amsterdam;Dale;dale@disney.com
7EAK;V0007;"Vereniging van eigenaars gebouw ""Vasco da Gamastraat 53 te Amsterdam""";Dagobert Duck;dagobert.duck@disney.com
8EAK;V0008;"Vereniging van eigenaars gebouw ""Vasco da Gamastraat 53 te Amsterdam""";Assepoester;assepoester@disney.com
9;V0009;Vereniging Van Eigenaars 'T Waterfort;Sneeuwwitje;sneeuwwitje@disney.com
10;V0010;Vereniging Van Eigenaars Oeverpad;Belle;belle@disney.com
11;V0011;Vereniging Van Eigenaars Oeverpad;Ariel;ariel@disney.com
12;V0012;Vereniging van Eigenaars Jan Haringstraat 10 te Amsterdam;Jasmine;jasmine@disney.com
13;V0013;Vereniging van Eigenaars Jan Haringstraat 10 te Amsterdam;Mulan;mulan@disney.com
14;V0014;Vereniging van eigenaars gebouw Orteliusstraat 278 te Amsterdam;Pocahontas;pocahontas@disney.com
15;V0015;Vereniging van eigenaars gebouw Orteliusstraat 278 te Amsterdam;Tiana;tiana@disney.com
16;V0016;"Vereniging van eigenaars gebouw ""Admiraal de Ruyterweg 96"" te Amsterdam";Rapunzel;rapunzel@disney.com
17;V0017;"Vereniging van eigenaars gebouw ""Admiraal de Ruyterweg 96"" te Amsterdam";Merida;merida@disney.com
18;V0018;Vereniging van Eigenaars Easton III van het gebouw Eastonstraat 117 tot en met 132 te Amsterdam;Elsa;elsa@disney.com
19;V0019;Vereniging van Eigenaars Easton III van het gebouw Eastonstraat 117 tot en met 132 te Amsterdam;Anna;anna@disney.com
20;V0020;Vereniging Van Eigenaars Postjeskade 201;Vaiana;vaiana@disney.com
21;V0021;Vereniging Van Eigenaars Postjeskade 201;Simba;simba@disney.com
22EAK;V0022;"Vereniging van eigenaars gebouw ""Bentinckstraat 16"" te 1051 GK Amsterdam";Timon;timon@disney.com
