vve;naam;email;Cursusdatum
Vereniging van Eigenaars Joos Banckersweg 1 tot en met 29, Jan van Galenstraat 122 tot en met 132 (even nummers) en Admiraal de Ruyterweg 163-165 te Amsterdam;Mickey Mouse;mickey.mouse@disney.com;25/11/2025 00:00
Vereniging van Eigenaars Joos Banckersweg 1 tot en met 29, Jan van Galenstraat 122 tot en met 132 (even nummers) en Admiraal de Ruyterweg 163-165 te Amsterdam;Minnie Mouse;<minnie.mouse@disney.com>;2/12/25
Vereniging van Eigenaars Joos Banckersweg 1 tot en met 29, Jan van Galenstraat 122 tot en met 132 (even nummers) en Admiraal de Ruyterweg 163-165 te Amsterdam;Donald Duck;donald.duck@disney.com;27-11-25 12:00
Vereniging van Eigenaars Zeeburgerstraat te Amsterdam;Katrien Duck;katrien.duck@disney.com;21/1/2025
Vereniging van Eigenaars Zeeburgerstraat te Amsterdam;Goofy;goofy@disney.com;29/11/2025 00:00
Vereniging Van Eigenaars Van Het Gebouw Pieter Van Der Doesstraat 38, 40, 42 En 44 Te Amsterdam;Pluto;pluto@disney.com;30/11/2025 00:00
Vereniging Van Eigenaars Van Het Perceel Van Tuyll Van Serooskerkenweg 142 Tot En Met 156 Te Amsterdam (Van Tuyllpark);Chip;chip@disney.com;01/12/2025 00:00
Vereniging Van Eigenaars Duke Ellington Te Amsterdam;Dale;dale@disney.com;2025/12/01
"Vereniging Van Eigenaars ""Gaasperdam 1""";Dagobert Duck;dagobert.duck@disney.com;03/12/2025 00:00
Vereniging van Eigenaars Woningen Parkeervlakken En Garages Dijkgraafplein E.O. Te Amsterdam;Assepoester;assepoester@disney.com;04/12/2025 00:00
Vereniging van Eigenaren flatgebouw Gemeenschapspolderweg genummmerd 101 tot en met 117, 201 tot en met 217 enzovoort, 801 tot en met 817 (oneven) te Weesp;Sneeuwwitje;sneeuwwitje@disney.com;05/12/2025 00:00
V.V.E. Gebouw A.J. Ernstraat 737-799 En Wijenburg 90-A Te Amsterdam;Belle;belle@disney.com;06/12/2025 00:00
Vereniging van Eigenaars van het Gebouw Minervalaan 74/76, te Amsterdam;Ariel;ariel@disney.com;07/12/2025 00:00
Vereniging van Eigenaars Olifantswerf 14 tot en met 81 en Kattenburgerkruisstraat 5 te Amsterdam;Jasmine;jasmine@disney.com;
"Vereniging Van Eigenaars ""Apollo Te Amsterdam""";Mulan;mulan@disney.com;123456789
Vereniging van Eigenaars Joos Banckersweg 1 tot en met 29, Jan van Galenstraat 122 tot en met 132 (even nummers) en Admiraal de Ruyterweg 163-165 te Amsterdam;Pocahontas;;07/12/2025 00:00
